            front_03  |    gd_foil_front_03  |BDX-DRIFT Neutron Veto front 3  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 3 
            front_04  |    gd_foil_front_04  |BDX-DRIFT Neutron Veto front 4  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 4 
            front_05  |    gd_foil_front_05  |BDX-DRIFT Neutron Veto front 5  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 5 
            front_06  |    gd_foil_front_06  |BDX-DRIFT Neutron Veto front 6  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 6 
            front_07  |    gd_foil_front_07  |BDX-DRIFT Neutron Veto front 7  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 7 
            front_08  |    gd_foil_front_08  |BDX-DRIFT Neutron Veto front 8  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 8 
            front_09  |    gd_foil_front_09  |BDX-DRIFT Neutron Veto front 9  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |           face manual 1 paddle manual 9 
            front_10  |    gd_foil_front_10  |BDX-DRIFT Neutron Veto front 10  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |          face manual 1 paddle manual 10 
            front_11  |    gd_foil_front_11  |BDX-DRIFT Neutron Veto front 11  |                              0.0*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | 66bbff   |                 Box  |                                    1.2*cm  87.5*cm  87.5*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |               nveto  |               nveto  |          face manual 1 paddle manual 11 
     gd_foil_back_00  |bdxdrift_main_volume  |BDX-DRIFT Neutron Veto Gd Foil back 0  |                             87.5*cm 0.0*cm 0.0*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                 Box  |                                    1.3*cm  87.5*cm  87.5*cm  |             gd_foil  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
